mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA4a34386,-,CATMA1a56230,-,AT2G15480,+,AT3G02450,-,AT2G46150,-,CATMA3a43300,+,CATMA3a14635,-,CATMA3a28035,-,AT3G04070,-
CATMA2a18830,-,CATMA5a13480,+,CATMA4a34970,-,AT1G09620,-,AT4G10860,-,AT4G10860,+,AT2G47180,-,AT4G11650,-,CATMA1a24430,+
CATMA4a31460,-,CATMA2a31940,+,AT1G14250,-,AT3G02360,-,AT2G14610,-,CATMA1a50890,+,CATMA2a45630,+,CATMA3a44640,-,CATMA5a49450,-
CATMA5a27950,-,CATMA1a11350,-,AT1G19670,-,AT5G25350,-,AT1G75030,-,CATMA2a27520,+,AT5G03210,-,CATMA1a43920,-,CATMA1a43840,-
AT5G59540,-,CATMA4a18010,-,AT1G11610,+,AT3G02350,-,CATMA3a17550,+,CATMA2a27340,-,CATMA2a39750,+,CATMA1a54343,+,CATMA5a50460,-
AT2G02070,-,AT3G01450,-,CATMA1a39090,+,CATMA1a40775,-,AT2G14580,-,CATMA4a29690,+,CATMA3a14910,+,AT1G17170,-,CATMA4a25920,-
AT3G09390,-,CATMA1a41130,+,CATMA1a62540,+,AT5G02770,-,CATMA5a24103,-,CATMA2a26586,+,CATMA1a57610,+,AT2G43820,-,AT2G18670,-
CATMA5a10040,-,AT2G04420,-,AT5G55410,+,CATMA5a53190,-,AT2G14560,-,AT1G05710,+,AT3G09520,+,AT2G05510,-,AT5G13320,-
AT5G03020,-,CATMA5a46020,+,AT4G37520,+,CATMA3a41020,-,CATMA1a57570,+,AT2G28190,-,AT1G26400,+,AT2G05530,-,AT1G02450,-
AT5G11180,-,CATMA2a46490,+,CATMA3a48880,+,CATMA3a41520,-,CATMA2a15760,-,CATMA1a53420,+,AT3G09270,+,AT2G14610,-,CATMA2a33060,-
CATMA5a22935,-,CATMA5a46200,+,CATMA2a30020,-,AT2G37478,-,AT3G08920,+,CATMA2a24880,+,CATMA5a57640,-,CATMA5a16140,-,CATMA5a50670,-
CATMA1a10640,-,CATMA3a53620,+,CATMA3a48940,+,CATMA4a35890,-,CATMA5a23850,-,CATMA4a26700,+,AT3G09260,-,AT1G14870,-,AT1G35230,-
AT4G01690,-,CATMA1a28070,+,AT1G76930,+,AT2G29490,-,AT1G78460,+,AT1G66960,+,CATMA2a20420,-,CATMA1a25020,-,CATMA3a10770,-
CATMA4a34270,-,AT3G01470,+,CATMA3a33372,-,AT5G04550,-,CATMA1a44110,-,CATMA1a57110,-,CATMA5a57740,+,CATMA1a39180,+,CATMA4a12000,-
CATMA5a56570,-,CATMA2a32600,-,CATMA3a33374,-,CATMA4a35390,-,CATMA4a12000,-,AT3G07320,-,AT4G13410,-,AT2G31945,-,CATMA4a25620,-
CATMA2a39435,-,CATMA2a46470,+,AT3G52720,-,AT5G05170,-,CATMA5a54443,-,CATMA2a23310,+,CATMA3a15890,-,CATMA5a16550,-,AT5G04930,-
CATMA2a28960,-,AT4G06746,-,CATMA5a59720,+,CATMA1a17080,-,CATMA2a05280,-,AT2G44290,+,AT1G74430,-,CATMA4a38220,-,CATMA2a15860,-
CATMA2a42430,-,CATMA5a62440,+,CATMA1c71089,+,CATMA2a44800,-,CATMA3a19460,+,CATMA4a26240,-,AT3G03341,-,CATMA2a22880,-,CATMA3a50720,-
CATMA1a30780,-,CATMA2a33180,+,CATMA1a13240,-,CATMA2a44730,-,AT4G23140,-,AT4G23140,+,CATMA5a21145,-,AT3G04720,-,AT2G14560,-
CATMA4a14420,-,CATMA1a59200,-,AT4G24340,-,CATMA5a10000,-,AT4G13890,-,CATMA3a46850,-,CATMA3a40350,-,AT1G11925,-,CATMA5a41330,-
CATMA1a50805,-,CATMA3a27060,+,AT1G03850,+,CATMA2a37990,-,CATMA1a66970,-,CATMA3a47330,-,CATMA1a43460,-,AT1G11610,-,CATMA2a24760,-
AT3G03510,-,AT3G62950,-,CATMA4a17540,-,AT1G08510,-,CATMA5a39790,+,CATMA4a25530,+,CATMA1a61410,-,CATMA4a37690,-,CATMA3a29380,-
CATMA1a14990,-,CATMA2a33310,+,CATMA2a38080,-,CATMA3a45410,-,CATMA2a30940,-,AT5G24200,+,CATMA1a61670,-,CATMA2a23310,-,CATMA1a24090,+
CATMA1a32380,-,AT4G11600,+,AT1G05340,+,CATMA3a46070,-,AT1G35230,-,CATMA4a24970,+,AT5G01550,+,AT5G59820,-,CATMA5a41420,-
CATMA4a30240,-,CATMA5a48200,+,CATMA1a63130,+,CATMA5a49370,-,CATMA1a33890,-,CATMA2a20720,-,CATMA1a43122,-,AT1G09500,-,AT1G51890,-
AT1G05790,-,CATMA5a11380,+,CATMA3a53150,+,CATMA4a34160,-,AT3G11010,-,AT5G21920,-,AT2G05510,+,CATMA3a29070,-,AT1G21270,-
CATMA3a46820,-,AT5G12920,+,AT1G03220,+,CATMA1a18700,-,CATMA2a44770,-,CATMA5a41660,-,AT1G74590,+,CATMA2a23510,-,AT5G40780,-
CATMA2a19140,-,CATMA1a55450,-,AT5G02020,+,CATMA2a36730,-,CATMA4a12860,-,CATMA5a41670,-,AT3G55890,+,CATMA5a57190,-,AT3G28510,-
AT3G07440,-,CATMA5a10830,+,AT3G49210,+,CATMA3a47075,-,CATMA5a47480,+,AT3G55500,-,AT1G76790,-,CATMA1a25520,-,CATMA5a34500,-
CATMA4a34130,-,CATMA4a17330,-,AT5G01550,+,CATMA5a10500,-,CATMA3a29390,-,CATMA4a24190,+,CATMA4a37876,+,CATMA3a29390,-,CATMA4a36910,-
CATMA3c58142,-,CATMA1a66500,+,AT5G01300,+,CATMA2a33050,-,CATMA1a66220,-,AT1G04800,-,AT1G51780,-,CATMA1a25530,-,CATMA2a12430,-
CATMA1c72320,-,AT2G36260,+,CATMA4a34550,+,CATMA3a49010,-,CATMA5a48670,-,CATMA4a23490,+,AT2G06050,-,AT3G04070,-,AT2G44240,-
AT3G09200,-,CATMA2a45275,+,AT3G09270,+,CATMA2a31940,-,AT2G04450,-,CATMA2a19310,-,AT2G38870,+,CATMA5a57200,-,AT1G05010,-
CATMA3a52350,-,CATMA1a51630,+,CATMA1a26515,+,CATMA5a12050,-,CATMA4a26520,-,CATMA1a62540,+,AT1G03020,-,AT5G44670,+,CATMA5a22960,-
CATMA5a40240,-,AT3G06070,-,AT1G36622,+,CATMA2a30540,-,CATMA5a44520,-,CATMA2a17330,+,CATMA1a62540,+,CATMA5a17530,-,CATMA1a66010,+
CATMA3a14760,-,CATMA1a51830,+,AT3G44300,+,CATMA1a20710,-,AT2G02810,-,CATMA1a63130,+,CATMA5a16550,+,AT1G05340,-,CATMA1a54970,-
CATMA5a52170,-,CATMA1a46851,+,CATMA4a16726,+,CATMA2a28715,-,AT2G44240,-,CATMA1a63360,+,AT1G07500,-,AT1G03220,-,CATMA3a13940,-
