mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA3a16820,-,AT5G01030,+,CATMA3a17790,+,CATMA1a48930,-,CATMA4a17600,-,AT3G49210,+,CATMA4a39090,+,CATMA5a60000,-,CATMA4a17600,-
CATMA4a13600,-,AT1G07430,+,CATMA3a15240,-,CATMA1a48496,-,CATMA1a19010,+,AT3G49580,+,AT2G15220,+,CATMA5a53400,-,AT1G77510,-
CATMA4a14135,-,CATMA2a41000,-,AT2G45210,+,CATMA4a18080,-,AT5G55450,-,AT1G32940,+,AT3G01970,+,CATMA5a53670,-,AT3G13610,-
CATMA1a28386,-,CATMA4a11930,+,AT5G59330,+,CATMA1a48330,-,CATMA2a29230,-,AT1G74590,+,AT1G74020,+,AT3G01420,-,CATMA2a41990,-
CATMA2a29072,-,AT4G39640,-,AT5G59310,+,CATMA4a18870,-,AT5G02160,+,AT4G02380,+,CATMA2a26586,+,CATMA4a34550,-,CATMA2a45580,-
CATMA4a23655,-,AT4G18205,-,AT2G43100,-,CATMA4a19000,-,CATMA4a18485,+,AT4G01430,+,AT3G05400,+,CATMA3a14870,-,CATMA5a35240,-
CATMA1a50605,-,AT4G12545,+,CATMA3a17080,-,CATMA1a31360,-,CATMA2a12430,-,AT3G13433,+,AT1G05340,+,CATMA2a26930,-,CATMA4a21380,-
CATMA1a19640,-,CATMA2a41660,+,CATMA5a61730,+,CATMA1a43840,-,CATMA2a13330,-,AT1G65845,+,AT3G01420,+,CATMA5a23440,-,CATMA3a23080,-
CATMA3a13145,-,CATMA2a41910,+,AT5G58310,-,CATMA1a41430,-,CATMA3a24020,-,AT1G58225,+,CATMA4a29690,+,CATMA5a46160,-,CATMA2a44785,-
CATMA5a33960,-,AT3G10720,-,AT5G44420,-,CATMA5a10470,-,AT2G47130,-,AT3G44300,+,CATMA2a37480,-,CATMA3a54230,-,CATMA1a43000,-
