mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation
AT3G02530,-,CATMA1a62270,+,AT4G18205,+,CATMA1a66010,-,CATMA5a57380,-,AT3G03440,+,CATMA5a33100,+,CATMA3a27260,-
AT1G72370,-,CATMA2a43870,-,AT3G54540,+,AT4G28080,+,CATMA1a45710,-,AT3G15350,+,CATMA4a22600,+,AT4G10860,+
CATMA4a15450,-,CATMA2a19210,-,CATMA5a42770,+,AT1G22550,-,CATMA2a41300,-,CATMA5a23420,+,AT1G01480,+,AT2G23000,-
CATMA1a16520,-,CATMA4a36080,-,CATMA3a47380,+,AT3G27690,+,CATMA2a25415,-,AT4G27030,+,CATMA4a18690,+,CATMA2a32630,-
CATMA2a27205,-,AT1G78820,-,AT1G52040,+,AT2G14560,+,CATMA2a30540,-,AT3G17790,+,AT3G03110,+,AT3G28510,+
CATMA2a37967,-,AT5G05580,-,CATMA3a47370,+,CATMA1a51690,-,CATMA3a15430,-,AT3G17800,+,AT5G65300,+,AT3G05640,+
CATMA4a10380,-,AT1G47400,-,AT4G00630,+,AT3G01500,+,CATMA4a16270,-,CATMA1a45460,+,AT2G06050,-,CATMA2a12430,+
CATMA5a25040,-,AT1G47395,-,AT4G00720,+,AT1G32640,-,CATMA3a15990,-,CATMA1a43910,+,CATMA3a15940,-,CATMA3a14870,-
CATMA3a19590,-,AT1G18870,+,CATMA4a38250,+,CATMA2a19310,+,AT5G08530,-,AT3G48590,-,CATMA5a60320,+,CATMA1a69340,-
CATMA5a43050,-,AT3G16360,+,CATMA4a38180,+,AT4G13410,-,CATMA2a27530,-,CATMA1a42210,+,CATMA2a26230,-,AT5G07990,-
CATMA2a38025,-,AT1G09750,-,CATMA1a55400,+,CATMA1a50960,-,AT1G09620,-,AT3G02570,+,CATMA2a33050,-,AT1G73330,-
AT4G01320,-,CATMA4a35420,-,CATMA1a10510,-,AT3G47950,-,CATMA2a44730,-,CATMA5a45440,-,AT1G44350,-,CATMA4a31540,+
CATMA4a30130,-,CATMA3a12140,-,CATMA1a20660,+,AT4G11320,-,CATMA3a46670,-,CATMA3c58140,+,AT1G21310,+,CATMA3a10360,+
CATMA4a30165,-,CATMA1a58565,+,AT1G01140,+,AT2G28950,+,AT5G45110,-,AT5G09590,+,AT1G26380,+,AT5G04950,-
CATMA3a19345,-,CATMA1a21770,-,CATMA5a59730,+,AT3G03341,-,CATMA4a32390,-,AT3G02360,+,AT1G03310,-,AT2G41800,-
CATMA3a41780,-,CATMA4a12020,+,CATMA3a46850,-,CATMA5a58780,+,CATMA1a27430,-,AT3G02350,+,CATMA3a46750,-,CATMA5a58200,+
AT3G03940,-,CATMA1a47520,-,CATMA5a53360,+,CATMA3a22280,-,CATMA1a50050,-,CATMA1a41325,+,CATMA3a50000,+,AT4G22870,-
CATMA3a48405,-,CATMA3a55230,+,CATMA1a31360,+,AT4G10500,+,CATMA3a46640,-,AT4G37520,-,AT3G15830,+,CATMA1a23010,+
CATMA1a67650,-,CATMA5a55220,-,CATMA1a10450,+,AT1G02450,+,AT4G04220,-,AT4G00370,+,AT4G02715,-,AT4G23140,+
AT5G28900,-,CATMA1a64990,-,CATMA5a30480,+,CATMA1a15840,-,CATMA4a24855,-,AT4G00490,+,AT4G24340,-,CATMA1a44110,+
CATMA1a50605,-,CATMA3a55220,+,CATMA5a45320,-,CATMA5a39680,-,AT3G02360,-,CATMA2a22610,+,CATMA1a69810,+,CATMA3a25700,+
CATMA1a12440,-,CATMA1a65113,-,CATMA1a48930,+,CATMA3a13860,-,CATMA1a27310,-,AT1G03310,+,AT2G38905,+,AT1G03290,+
CATMA3a54850,-,CATMA4a34690,+,CATMA1a61460,-,CATMA4a40390,+,CATMA5a30480,-,AT4G00630,+,CATMA1a59240,+,CATMA1a41630,-
CATMA3a54606,-,CATMA3a46940,+,CATMA3a41020,+,CATMA1a48493,-,AT4G31490,-,CATMA2a22870,+,AT1G02450,+,CATMA1a26690,+
CATMA3a39600,-,AT5G40240,+,AT1G70320,+,AT3G09910,-,AT2G46520,-,AT5G02500,+,CATMA3a52950,-,CATMA3a43550,+
CATMA5a36780,-,CATMA5a55640,-,CATMA1a68680,+,CATMA2a46200,-,CATMA4a32260,+,AT4G02020,+,AT2G47115,+,CATMA5a39400,-
CATMA1a39380,-,CATMA4a34610,-,AT2G21140,-,CATMA4a38530,-,CATMA1a26730,-,AT4G27570,+,AT2G12945,+,AT4G12480,-
CATMA4a31460,-,AT2G04420,-,AT3G29200,-,AT3G11010,+,CATMA5a45658,-,CATMA2a23510,-,CATMA3a03740,+,AT2G23010,-
CATMA3a39620,-,CATMA1a12640,-,CATMA4a23550,-,AT2G47180,-,AT4G02510,-,CATMA2a23970,+,CATMA1a22146,-,AT4G12490,-
AT2G27730,-,CATMA4a34530,-,CATMA5a45350,+,CATMA2a45105,-,CATMA3a44560,-,AT2G45170,-,AT1G66700,+,AT1G22770,+
CATMA3a48600,-,AT1G75960,-,AT1G01650,+,AT1G44350,-,CATMA1a27380,-,CATMA4a38220,-,CATMA3a20040,+,CATMA3a55060,-
AT1G01540,-,CATMA5a21230,+,AT1G09620,+,CATMA2a44785,+,CATMA4a37990,-,CATMA2a24520,+,AT1G07400,+,AT4G12500,-
CATMA3a18780,-,CATMA5c65239,-,AT2G46520,+,CATMA3a23080,+,CATMA2a40950,-,CATMA5a44245,+,CATMA3a49115,-,CATMA1a11430,+
CATMA3a48760,-,AT1G08230,+,CATMA4a10750,+,CATMA5a20050,+,CATMA2a15380,-,AT2G39400,-,CATMA4a37650,+,CATMA2a36460,-
AT1G70490,-,CATMA2a39750,+,CATMA2a44610,+,AT4G02360,-,AT3G47960,-,CATMA5a26810,-,CATMA5a57190,-,CATMA2a28715,+
CATMA1a51960,-,CATMA1a58800,+,AT2G28190,-,CATMA5a54970,-,CATMA4a38320,-,AT2G33480,-,AT5G03900,-,CATMA1a63120,+
CATMA1a52330,-,AT5G26000,-,CATMA2a25100,+,CATMA5a11430,-,AT1G03080,-,CATMA5a43205,-,CATMA4a20330,-,AT2G38870,-
CATMA2a38270,-,AT3G03820,-,AT1G02335,-,CATMA1a16465,-,CATMA1a48930,-,CATMA1a33780,-,AT1G27330,+,AT1G03220,-
CATMA2a25880,-,AT2G05440,-,CATMA5a24856,-,AT5G09440,-,CATMA2a35330,-,AT4G09020,+,AT5G06870,-,AT1G02450,+
CATMA1a16100,-,CATMA1a46840,+,CATMA5a57800,-,CATMA4a36890,-,AT3G07700,-,CATMA2a28000,+,AT1G56060,+,AT1G71030,-
CATMA3a18110,-,AT4G08570,+,CATMA3a44260,-,CATMA4a36800,-,AT3G07780,-,CATMA2a28060,+,AT1G17170,+,CATMA5a48205,+
CATMA5a36370,-,AT5G04160,-,AT5G35450,+,CATMA4a36650,-,CATMA2a16440,-,AT4G19420,-,CATMA1a69650,+,CATMA5a34820,-
AT3G06200,-,CATMA1a58850,-,AT4G18422,-,CATMA4a35280,-,AT3G09020,-,CATMA2a28743,+,CATMA2a42040,+,CATMA5a24103,+
CATMA2a25460,-,AT3G60290,-,AT1G02205,-,AT5G09530,-,CATMA4a30680,-,AT2G02010,+,AT2G14610,+,AT5G60900,+
CATMA1a14840,-,CATMA3a17080,-,CATMA2a41560,+,CATMA2a42670,+,CATMA5a16140,-,CATMA4a25960,+,AT2G14580,+,AT2G14560,+
CATMA3a17390,-,AT5G19470,+,CATMA5a51750,+,CATMA2a27340,+,AT5G17990,-,AT2G43820,-,AT5G45690,+,CATMA1a47690,+
CATMA1a14860,-,CATMA3a24830,+,CATMA1a28000,-,CATMA5a60680,-,AT1G48330,+,AT2G31100,-,CATMA3a13170,+,AT5G64810,+
CATMA4c42154,-,CATMA3a50700,+,AT1G03080,+,AT3G28290,-,CATMA4a30230,-,CATMA1a29860,+,CATMA3a22700,-,AT2G26400,+
AT3G07660,-,CATMA5a36700,+,CATMA5a37480,+,CATMA1c72237,-,AT1G03740,-,CATMA4a12400,+,AT5G01300,+,CATMA2a39540,+
AT3G07890,-,CATMA3a11570,-,CATMA3a47740,-,CATMA2a41190,-,CATMA1a48496,-,CATMA4a33110,+,AT5G01550,+,AT5G59310,-
CATMA1a53330,-,AT2G32880,-,CATMA1a32560,+,CATMA2a28315,+,AT3G50950,-,CATMA4a13980,+,AT4G10860,+,AT5G03350,+
CATMA2a06080,-,CATMA3a11535,+,CATMA4a30680,+,CATMA2a05290,+,CATMA1a32600,-,CATMA1a27115,+,AT3G13433,+,CATMA1a28750,-
AT3G08010,-,AT3G61990,+,CATMA3a13550,+,AT1G03630,+,CATMA4a17530,-,CATMA5a41800,+,AT1G74590,+,CATMA5a44760,+
CATMA2a18915,-,AT2G34510,-,CATMA1a61380,+,AT5G55450,+,AT3G26670,-,CATMA1a26000,+,CATMA2a38620,+,AT4G02520,+
AT4G02770,-,CATMA3a47505,-,AT1G23410,-,AT1G53885,-,CATMA4a21380,-,CATMA4a25750,-,CATMA1a32195,+,CATMA3a48860,+
CATMA1a30400,-,AT2G34620,-,AT4G13410,-,CATMA5a23350,-,CATMA5a37745,-,CATMA2a31940,+,AT2G40170,+,CATMA4a25920,+
CATMA1a28386,-,CATMA2a16715,+,CATMA2a33170,+,CATMA5a11170,+,CATMA4a28880,-,CATMA1a25570,+,AT2G05635,+,AT1G69270,+
CATMA1c72389,-,CATMA1a65380,-,AT3G05900,+,AT1G73330,-,CATMA3a40320,-,AT2G46915,+,CATMA1a51170,+,CATMA1a66910,-
CATMA2a19090,-,AT1G21000,+,CATMA2a33180,+,AT5G24780,-,CATMA2a33050,-,CATMA1a25450,+,AT5G11210,+,CATMA1a63360,-
CATMA4a34260,-,AT2G37870,+,CATMA1a13390,+,CATMA1a39090,-,AT1G14250,-,CATMA2a45275,+,CATMA5a34500,+,CATMA2a41920,-
AT4G09000,-,AT2G35070,+,AT3G63500,+,CATMA4a30480,+,CATMA3a11520,-,CATMA4a16220,+,AT1G26410,+,AT4G10500,+
CATMA4a34340,-,CATMA5a48280,+,CATMA3a27070,+,AT5G10300,-,CATMA5a38770,-,CATMA2a45250,+,CATMA3a45760,+,CATMA2a41990,+
CATMA1a53810,-,AT5G23820,-,AT3G22840,-,CATMA4a14760,+,CATMA1a24330,-,CATMA2a32880,+,AT2G29350,+,CATMA4a24645,-
AT3G09200,-,CATMA1a28250,+,AT1G06290,+,CATMA1a39580,+,CATMA5a12350,-,CATMA2a33050,+,AT2G32190,+,AT1G07430,+
CATMA3a49560,-,CATMA5a62140,-,CATMA2a20720,-,CATMA3a43980,-,CATMA4a12010,-,CATMA2a44730,+,CATMA5a48780,-,CATMA5a15500,-
AT3G09390,-,AT4G37980,+,AT4G16920,+,AT5G59310,-,AT1G05520,-,CATMA1a25020,-,CATMA3a25100,+,CATMA3a41610,+
CATMA5a30710,-,CATMA1a65440,-,AT4G18197,+,CATMA5a59720,-,CATMA5a53360,-,CATMA2a33180,+,CATMA1a63980,+,CATMA3a41600,+
CATMA3a15720,-,CATMA4a23510,-,CATMA4a12870,-,AT5G59320,-,AT1G06290,-,AT4G06746,-,AT4G04500,+,AT2G04495,+
CATMA4a41040,-,CATMA5a56510,-,AT5G02880,+,AT5G59330,-,CATMA1a47044,-,CATMA4a33470,-,CATMA3a17790,+,CATMA4a36910,+
CATMA5a30815,-,AT3G05690,+,CATMA1a22870,-,CATMA4a16550,-,CATMA4a34030,-,CATMA4a16610,+,CATMA1a61380,-,CATMA1a63750,+
CATMA4a34760,-,CATMA1a45720,+,AT5G28020,+,CATMA4a29500,-,CATMA5a56650,-,CATMA4a16980,+,CATMA4a25530,+,CATMA1a48930,+
CATMA2a40370,-,AT3G05730,-,AT5G63800,+,CATMA4a16726,-,CATMA2a21910,-,CATMA2a42950,-,AT1G14870,+,AT2G04450,+
CATMA1a54040,-,CATMA2a33330,-,CATMA1a21980,+,CATMA2a39060,+,CATMA3a12110,-,AT2G44060,+,AT1G14250,-,AT3G50950,+
AT2G25430,-,CATMA5a61880,-,CATMA5a58790,+,AT1G74430,-,AT1G21450,-,CATMA4a33520,+,CATMA1a69620,-,CATMA2a42880,-
CATMA3a40485,-,CATMA1a20550,-,AT1G22770,+,CATMA4a28990,-,CATMA1a59040,-,CATMA4a17350,+,CATMA3a25835,-,CATMA1a66220,+
CATMA3a49925,-,CATMA1a13300,-,CATMA3a19930,+,CATMA2a38930,+,AT5G50720,+,CATMA2a35330,+,CATMA1a12340,+,CATMA5a20010,+
AT1G19570,-,AT3G08920,-,AT5G08640,-,CATMA2a30800,-,AT1G21270,-,CATMA1a12700,+,CATMA1a54970,+,CATMA5a20040,+
CATMA4a40685,-,AT2G33830,+,CATMA5a47660,-,CATMA1a43920,-,CATMA2a22515,-,CATMA4a33690,+,AT1G08670,+,CATMA1a11080,+
AT2G25310,-,AT4G33610,+,AT3G55500,-,CATMA3a25740,+,CATMA4a12400,-,AT1G22770,+,AT4G14630,+,AT5G56080,-
AT3G10330,-,AT1G01620,-,AT1G03740,+,CATMA3a43540,+,CATMA3a27070,-,CATMA2a42120,+,CATMA5a57740,+,CATMA4a34550,-
CATMA4a35120,-,CATMA5a19550,+,CATMA3a38785,+,CATMA5a24910,-,CATMA1a68720,-,CATMA4a18485,-,AT3G46080,+,CATMA5a22960,+
AT1G08380,-,CATMA2a32190,-,CATMA5a47680,-,AT2G33380,-,AT1G06410,-,CATMA2a35500,+,CATMA2a36030,+,AT3G44300,-
CATMA4a40370,-,AT1G10070,+,CATMA4a30480,-,AT1G05010,+,CATMA1a68200,-,CATMA4a18570,+,AT3G09270,+,AT3G48080,+
CATMA5a56130,-,AT3G16530,-,AT2G06904,-,CATMA1a43460,-,CATMA5a10285,-,CATMA2a41920,-,CATMA4a41020,+,AT2G47160,-
CATMA1a29810,-,CATMA1a27020,+,AT5G01015,-,CATMA1a40830,+,CATMA5a53190,-,CATMA2a41910,+,CATMA4a26100,-,CATMA2a24760,+
CATMA3a14890,-,CATMA5a35200,+,CATMA3a15560,-,CATMA5a59840,+,AT4G03400,-,CATMA1a21020,-,AT2G35980,+,AT1G76930,-
CATMA4a40220,-,CATMA1a27050,-,AT5G05270,-,AT3G04010,-,CATMA5a48205,-,CATMA2a35910,+,AT3G14680,+,CATMA5a41440,+
CATMA1a57290,-,CATMA1a19070,-,AT3G13670,+,CATMA1a61750,-,CATMA3a13940,-,CATMA1a20750,+,CATMA3a42820,+,CATMA2a20300,-
CATMA4a36460,-,CATMA5a20050,-,CATMA5a36100,+,CATMA3a10458,-,CATMA5a41800,-,CATMA2a36320,+,AT1G36622,+,AT3G13610,+
CATMA4a39730,-,CATMA2a14420,+,AT1G04800,-,AT3G04210,+,CATMA5a10000,-,CATMA5a36060,+,AT5G64810,+,CATMA2a44663,+
CATMA5a51765,-,CATMA5a35090,+,CATMA3a55860,+,AT2G39030,-,CATMA1a40775,-,CATMA2a36520,+,AT5G62480,+,CATMA1a13910,+
CATMA1a15180,-,AT1G09200,-,AT4G30270,+,CATMA5a25880,-,AT2G29120,-,AT1G21450,+,CATMA3a54340,+,CATMA5a62480,+
CATMA4a39445,-,CATMA1a27580,-,CATMA2a31940,+,CATMA5a25890,-,CATMA2a25010,+,CATMA4a25450,+,AT5G59820,+,CATMA4a25850,-
CATMA1a23190,-,AT3G03850,-,AT3G08770,-,AT5G47330,-,CATMA1a41525,-,CATMA1a17080,+,AT1G03850,+,AT5G05270,-
CATMA5a32230,-,AT1G08890,+,AT1G53480,-,AT5G65080,-,CATMA5a42770,-,AT1G17990,-,CATMA5a38640,+,AT5G09590,+
CATMA5a46860,-,AT5G01015,-,AT1G15740,+,CATMA2a32930,-,CATMA4a25960,-,CATMA2a40490,+,CATMA3a10360,+,CATMA4a26885,+
CATMA3a14150,-,AT4G09650,-,CATMA1a57110,-,AT1G08920,-,CATMA4a34790,-,CATMA1a16050,+,CATMA4a38870,+,CATMA3a53790,+
CATMA2a20470,-,CATMA2a32970,+,CATMA4a15770,-,AT3G04290,+,CATMA1a42810,-,AT1G01180,-,AT1G19670,-,AT1G08450,+
CATMA5a16195,-,AT5G38430,-,AT5G03545,-,CATMA3a42290,+,AT4G16180,-,AT3G07380,+,CATMA5a11380,+,CATMA3a19160,-
CATMA4a36825,-,AT1G07610,-,CATMA4a33490,-,CATMA5a25900,-,CATMA1a43100,-,CATMA2a39780,+,AT1G09500,+,AT2G47130,+
AT4G04210,-,AT1G06830,-,AT1G11850,-,CATMA1a43122,-,CATMA4a25450,-,CATMA5a37030,+,CATMA3a29390,+,CATMA2a23220,+
AT4G05180,-,AT3G55890,+,CATMA4a34080,+,CATMA1a18950,+,CATMA1a63370,-,CATMA4a24190,-,AT4G02380,+,CATMA4a26700,-
AT5G52370,-,AT1G17745,+,CATMA1a48220,+,CATMA2a36695,-,CATMA1a43840,-,CATMA1a15030,+,AT5G64310,+,CATMA3a53150,-
CATMA3a13190,-,CATMA1a32360,+,CATMA1a54343,-,AT1G04800,+,AT5G09590,-,CATMA2a39600,-,CATMA4a08930,+,CATMA5a51410,+
CATMA3a13145,-,CATMA5a61080,-,CATMA1a49600,-,CATMA1a18220,-,AT1G07630,-,AT2G40460,+,AT1G13540,+,AT2G23680,+
CATMA1a55946,-,CATMA1a45020,+,CATMA4a27580,+,AT1G51780,-,AT5G07440,-,CATMA4a34160,+,CATMA1a43120,-,CATMA4a14700,+
CATMA2a39435,-,CATMA2a10900,-,CATMA1a54045,+,AT1G04530,+,CATMA3a30650,-,CATMA4a39270,+,AT1G09560,+,CATMA4a24180,-
CATMA5a47080,-,CATMA3a21320,-,CATMA4a34990,+,CATMA4a23620,-,CATMA1a62790,-,CATMA1a14680,-,CATMA5a11290,+,CATMA4a24190,-
AT2G41980,-,AT5G54080,+,CATMA1a11840,-,CATMA5a30906,+,CATMA4a17600,-,CATMA4a34220,-,CATMA2a13330,+,AT5G35525,+
