mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation
AT2G04740,-,CATMA4a40033,+,CATMA5a15460,-,AT1G55910,+,AT3G56310,-,CATMA1a18720,+,CATMA1a60450,+,CATMA2a42790,+
CATMA5a18380,-,CATMA1a20470,+,AT2G17230,-,CATMA3a10870,+,CATMA1a23050,-,CATMA1a18670,+,CATMA2a30150,-,CATMA1a18630,-
CATMA1a66030,-,CATMA5a61730,+,CATMA3a13940,+,AT5G35525,+,CATMA1a59180,-,AT1G16110,-,CATMA3a40190,+,AT5G25440,+
CATMA1a41420,-,AT2G16720,+,CATMA3a52110,+,CATMA3a52100,-,AT5G49890,-,CATMA5a12270,+,CATMA3a54600,+,CATMA3a21590,+
CATMA2a45720,-,CATMA1a69070,+,AT5G07080,-,AT2G14580,+,AT3G02880,-,CATMA2a38370,+,CATMA3a17800,+,CATMA1a48496,+
CATMA4a14500,-,CATMA3a20400,-,CATMA3a13240,+,AT5G19230,+,CATMA2a26830,-,CATMA4a34150,+,AT4G24000,+,CATMA2a41025,-
CATMA2a45860,-,AT2G34430,-,CATMA4a35890,+,CATMA5a12440,+,CATMA3a10770,-,CATMA5a56620,+,AT5G50950,-,CATMA5a31480,+
CATMA1a22630,-,CATMA3a17520,-,CATMA4a10120,+,CATMA5a21145,-,AT4G14360,-,CATMA2a19230,+,CATMA5a23850,+,CATMA5a59940,+
CATMA5a10565,-,CATMA1a16890,+,CATMA5a51670,+,AT2G15960,-,AT1G70770,-,CATMA1a14060,+,CATMA2a41990,+,CATMA1a49230,+
CATMA4a14420,-,AT5G42825,+,AT3G22540,-,CATMA3a14910,-,CATMA1a47820,+,CATMA3a25075,+,AT2G02795,-,CATMA4a27330,+
CATMA5a41570,-,CATMA1a53800,-,CATMA3a37860,+,CATMA1a57110,+,AT5G13390,-,AT1G25275,-,AT4G10500,+,CATMA1a48445,+
CATMA4a21580,-,CATMA4a40270,-,AT3G06150,+,CATMA1a33890,+,CATMA1a12160,-,CATMA5a56250,+,AT3G12910,+,AT1G07610,-
CATMA5a19090,-,CATMA3a10585,-,AT3G49260,-,CATMA3a41330,-,CATMA5a44245,-,AT1G22890,-,CATMA3a25700,+,CATMA2a26720,+
CATMA5a62280,-,CATMA3a54760,+,CATMA5a62520,-,CATMA3a15780,+,CATMA3a52690,-,CATMA3a24350,+,CATMA5a58720,+,CATMA5a44340,+
CATMA4a14135,-,CATMA4a24500,-,CATMA1a63310,+,CATMA3a54600,+,CATMA2a23300,-,CATMA5a57190,-,CATMA3a28630,+,CATMA5a59110,-
CATMA5a50690,-,AT2G43580,+,CATMA5a10920,+,AT3G62030,+,CATMA2a44785,-,CATMA3a27060,+,AT5G06760,+,CATMA3a12760,+
