,input_dists,robustness
0,atted,0.27124719458381
1,atted,0.26414123475835877
2,atted,0.25401835514117105
3,atted,0.27488886358146314
4,atted,0.26899075241566
5,atted,0.2657669553737726
6,atted,0.27326009056667266
7,atted,0.26799550532295924
8,atted,0.2686362590787244
9,atted,0.2747135519593541
10,atted,0.2596102983955103
11,atted,0.2818027695987401
12,atted,0.25480551401955376
13,atted,0.25834830428262157
14,atted,0.26002835212377823
15,atted,0.23513001603215333
16,atted,0.2588616666873128
17,atted,0.24968923678002297
18,atted,0.2814227346544514
19,atted,0.24673023668602026
20,atted,0.2695241047460936
21,atted,0.2533621210044844
22,atted,0.27516620242181933
23,atted,0.2577685865169197
24,atted,0.2749009981159634
25,atted,0.2956571068285489
26,atted,0.27717819250082976
27,atted,0.2907482234767519
28,atted,0.2846762105343564
29,atted,0.27575251900195524
30,summed,0.22380692757433232
31,summed,0.21474299973337663
32,summed,0.21035223468114064
33,summed,0.21457268821006253
34,summed,0.21548116493885555
35,summed,0.20179097563202977
36,summed,0.21055555433865036
37,summed,0.19792560136629755
38,summed,0.23221423134093702
39,summed,0.2232353525045266
40,summed,0.21179554821157445
41,summed,0.2187860422118313
42,summed,0.2127602451888174
43,summed,0.21266526073888437
44,summed,0.21981099621145309
45,summed,0.21588933012374512
46,summed,0.21171300472440158
47,summed,0.21759035006015603
48,summed,0.2326566569951634
49,summed,0.1961266652846127
50,summed,0.22170728849856444
51,summed,0.2202591605562208
52,summed,0.22227505121310526
53,summed,0.20134778390135685
54,summed,0.21433479328726715
55,summed,0.20943563165352433
56,summed,0.2327147420285009
57,summed,0.21198866604455258
58,summed,0.20587134930094966
59,summed,0.20846751892174642
60,local,0.1529328364044901
61,local,0.14843830096692417
62,local,0.13432955675903777
63,local,0.1491450215893916
64,local,0.14347888779588505
65,local,0.14086608823051197
66,local,0.1371148949643326
67,local,0.1381313032317458
68,local,0.14550563031032684
69,local,0.13922469446225566
70,local,0.16144585527767527
71,local,0.15092438990755183
72,local,0.1653198179923211
73,local,0.13709291923603265
74,local,0.1432101209356443
75,local,0.15975562317146672
76,local,0.15497503412918995
77,local,0.13829574386160648
78,local,0.15228450344228459
79,local,0.14086505248675185
80,local,0.1526242103203091
81,local,0.13835558982394558
82,local,0.14489604882008686
83,local,0.1489344253688649
84,local,0.14853732112052712
85,local,0.1623868821179663
86,local,0.13912296061067414
87,local,0.15500112235429062
88,local,0.1457067968532317
89,local,0.1464673613542151
