Gene1	Gene2	Corr_strength
AT5G59720	AT4G27670	0.9104720609674556
AT5G59720	AT3G09640	0.9406170875681115
AT5G59720	AT1G53540	0.9056816300387988
AT5G59720	AT4G10250	0.9401043601173578
AT4G27670	AT3G09640	0.9079953198913525
AT4G27670	AT2G29500	0.9427549791090675
AT4G27670	AT1G53540	0.9478669512864113
AT4G27670	AT4G10250	0.9863914051994365
AT4G27670	AT3G46230	0.949576699748838
AT4G27670	AT1G72660	0.9209379666114803
AT4G27670	AT2G07675	0.9072638580526242
AT4G27670	257239_at	0.9282115255590143
AT4G27670	ATMG00690	0.9133613216663589
AT4G27670	AT2G30000	0.9676022746217163
AT3G09640	AT2G29500	0.9113577711150337
AT3G09640	AT1G52560	0.9493801057149984
AT3G09640	AT1G53540	0.9358914170972181
AT3G09640	AT4G10250	0.9319208675362203
AT3G09640	AT3G46230	0.9217031454755403
AT3G09640	AT1G72660	0.9360774081562234
AT3G09640	254414_at	0.9261108261687249
AT3G09640	AT2G30000	0.9199008440024019
AT2G26150	AT1G59860	0.90294692974535
AT2G26150	AT1G74310	0.9358436752859609
AT2G26150	AT5G51440	0.9457209767877656
AT2G26150	AT3G16050	0.9373365195960358
AT2G26150	AT5G52640	0.9303709004176945
AT2G26150	AT5G64510	0.9259090350776296
AT2G26150	AT1G30070	0.9103271905522314
AT2G26150	AT3G09350	0.9233623394278798
AT2G26150	AT1G07350	0.9312628629086065
AT2G26150	AT5G09590	0.9131277502775249
AT2G26150	AT3G12050	0.9282600981907232
AT2G26150	AT3G25230	0.9299178812767583
AT2G26150	AT5G56030	0.9053398345604347
AT2G26150	AT3G23990	0.9080984260477574
AT5G12020	AT2G29500	0.9625573950890488
AT5G12020	AT1G52560	0.9018892575216837
AT5G12020	AT1G53540	0.9695372566281809
AT5G12020	AT5G12030	0.9577977599275613
AT5G12020	AT3G46230	0.974325228420691
AT5G12020	AT4G25200	0.9572634678180821
AT5G12020	AT1G59860	0.9143310952862953
AT5G12020	AT4G12400	0.9659956943653047
AT5G12020	AT1G72660	0.9232342298133351
AT5G12020	AT5G48570	0.9369556569329272
AT5G12020	254414_at	0.9253431610075659
AT5G12020	AT5G47830	0.9131292930664747
